Value,ClassName,color_hex
1100,Upland Developed - Hard,#FF7F7F
1200,Upland Developed - Hard,#FF7F7F
1800,Upland Developed - Soft,#FFBEBE
1820,Upland Developed - Soft,#FFBEBE
1900,Upland Undeveloped,#E1E1E1
2100,Upland Developed - Soft,#FFBEBE
2200,Upland Developed - Soft,#FFBEBE
2400,Upland Developed - Soft,#FFBEBE
3200,Upland Undeveloped,#E1E1E1
4100,Upland Undeveloped,#E1E1E1
4400,Upland Undeveloped,#E1E1E1
5200,Open Freshwater,#73DFFF
5400,Open Water,#BEE8FF
6110,Freshwater Marsh & Wetlands,#FFFF73
6120,Mangroves,#55FF00
6410,Freshwater Marsh & Wetlands,#FFFF73
6420,High Salt Marsh,#737300
6510,Subtidal - Tidal Flat,#FFFFBE
6600,Salt Barren,#FFAA00
7100,Beach - Dune,#FFD37F
9113,Subtidal - Seagrass,#267300
